2019-10-29 15:40:03.560 [main] INFO  com.chongba.schedule.service.VisiableThreadPool.initialize:171 - Initializing ExecutorService
2019-10-29 15:40:03.581 [main] INFO  com.chongba.schedule.service.VisiableThreadPool.initialize:171 - Initializing ExecutorService 'visiableThreadPool'
2019-10-29 15:40:08.232 [scheduling-1] INFO  thread.run:95 - schedule-service的从节点进行备份
2019-10-29 15:40:30.295 [Thread-5] INFO  com.chongba.schedule.service.VisiableThreadPool.shutdown:208 - Shutting down ExecutorService 'visiableThreadPool'
2019-10-29 16:12:11.290 [main] INFO  com.chongba.schedule.service.VisiableThreadPool.initialize:171 - Initializing ExecutorService
2019-10-29 16:12:11.330 [main] INFO  com.chongba.schedule.service.VisiableThreadPool.initialize:171 - Initializing ExecutorService 'visiableThreadPool'
2019-10-29 16:12:17.689 [scheduling-1] INFO  thread.run:91 - schedule-service的主节点进行数据恢复---reloadData
2019-10-29 16:12:26.341 [scheduling-1] INFO  thread.reloadData:147 - 数据恢复完成，耗时46
2019-10-29 16:12:42.058 [Thread-9] INFO  com.chongba.schedule.service.VisiableThreadPool.shutdown:208 - Shutting down ExecutorService 'visiableThreadPool'
2019-10-29 16:14:23.957 [main] INFO  com.chongba.schedule.service.VisiableThreadPool.initialize:171 - Initializing ExecutorService
2019-10-29 16:14:23.991 [main] INFO  com.chongba.schedule.service.VisiableThreadPool.initialize:171 - Initializing ExecutorService 'visiableThreadPool'
2019-10-29 16:14:27.504 [scheduling-1] INFO  thread.run:91 - schedule-service的主节点进行数据恢复---reloadData
2019-10-29 16:14:32.652 [scheduling-1] INFO  thread.reloadData:147 - 数据恢复完成，耗时47
2019-10-29 16:14:44.845 [Thread-9] INFO  com.chongba.schedule.service.VisiableThreadPool.shutdown:208 - Shutting down ExecutorService 'visiableThreadPool'
2019-10-29 16:16:17.320 [main] INFO  com.chongba.schedule.service.VisiableThreadPool.initialize:171 - Initializing ExecutorService
2019-10-29 16:16:17.359 [main] INFO  com.chongba.schedule.service.VisiableThreadPool.initialize:171 - Initializing ExecutorService 'visiableThreadPool'
2019-10-29 16:16:21.416 [scheduling-1] INFO  thread.run:91 - schedule-service的主节点进行数据恢复---reloadData
2019-10-29 16:16:28.504 [scheduling-1] INFO  thread.reloadData:147 - 数据恢复完成，耗时19
